Linie;Farbentitel;RAL;C;M;Y;K;R;G;B;Hex
RB10;Gelbgrue］;RAL 6018;65;0;100;0;89;255;0;#59ff00
RB11;Lichtblau;RAL 5012;80;20;0;0;51;204;255;#33ccff
RB12;Verkehrspurpur;RAL 4006;40;100;0;0;153;0;255;#9900ff
RB13;Pastellorange;RAL 2003;0;55;100;0;255;115;0;#ff7300
RB14;Verkehrspurpur;RAL 4006;40;100;0;0;153;0;255;#9900ff
RB20;Smaragdgr「en;RAL 6001;85;40;100;0;38;153;0;#269900
RB21;Blaulila;RAL 4005;70;60;0;0;77;102;255;#4d66ff
RB22;Lichtblau;RAL 5012;80;20;0;0;51;204;255;#33ccff
RB23;Verkehrspurpur;RAL 4006;40;100;0;0;153;0;255;#9900ff
RB24;Blaulila;RAL 4005;70;60;0;0;77;102;255;#4d66ff
RB25;Himmelblau;RAL 5015;90;35;0;0;25;166;255;#19a6ff
RB26;Mintt「erkis;RAL 6033;100;0;55;0;0;255;115;#00ff73
RB27;Verkehrsrot;RAL 3020;0;100;100;0;255;0;0;#ff0000
RB31;Gelbgrue］;RAL 6018;65;0;100;0;89;255;0;#59ff00
RB32;Verkehrsrot;RAL 3020;0;100;100;0;255;0;0;#ff0000
RB33;Verkehrsrot;RAL 3020;0;100;100;0;255;0;0;#ff0000
RB34;Verkehrsblau;RAL 5017;100;50;0;0;0;128;255;#0080ff
RB35;Blaulila;RAL 4005;70;60;0;0;77;102;255;#4d66ff
RB36;Kupferbraun;RAL 8004;40;70;90;0;153;77;25;#994d19
RB41;Gelbgruen;RAL 6018;65;0;100;0;89;255;0;#59ff00 
RB43;Blaulila;RAL 4005;70;60;0;0;77;102;255;#4d66ff
RB45;Verkehrsgelb;RAL 1023;0;10;100;0;255;230;0;#ffe600
RB46;Erikaviolett;RAL 4003;10;70;0;0;230;77;255;#e64dff
RB49;Purpurrot;RAL 3004;50;100;70;0;128;0;77;#80004d
RB51;Erikaviolett;RAL 4003;10;70;0;0;230;77;255;#e64dff
RB51;Minttue〉kis;RAL 6033;100;0;55;0;0;255;115;#00ff73
RB54;Blaulila (65%);RAL 4005;70;60;0;0;77;102;255;#4d66ff
RB55;Hellrotorange;RAL 2008;0;65;100;0;255;89;0;#ff5900
RB60;Gelbgrue］;RAL 6018;65;0;100;0;89;255;0;#59ff00
RB61;Purpurrot;RAL 3004;50;100;70;0;128;0;77;#80004d
RB62;Erikaviolett;RAL 4003;10;70;0;0;230;77;255;#e64dff
RB63;Verkehrsgelb;RAL 1023;0;10;100;0;255;230;0;#ffe600
RB65;Verkehrsblau;RAL 5017;100;50;0;0;0;128;255;#0080ff
RB66;Smaragdgrue］;RAL 6001;85;40;100;0;38;153;0;#269900
RB73;Mintt「erkis;RAL 6033;100;0;55;0;0;255;115;#00ff73
RB74;Verkehrsblau;RAL 5017;100;50;0;0;0;128;255;#0080ff
RB80;Gelbgr「en;RAL 6018;65;0;100;0;89;255;0;#59ff00
RB81;Erikaviolett;RAL 4003;10;70;0;0;230;77;255;#e64dff
RB91;Kupferbraun;RAL 8004;40;70;90;0;153;77;25;#994d19
RB93;Kupferbraun;RAL 8004;40;70;90;0;153;77;25;#994d19
RE1;Verkehrsrot;RAL 3020;0;100;100;0;255;0;0;#ff0000
RE10;Kupferbraun;RAL 8004;40;70;90;0;153;77;25;#994d19
RE15;Verkehrsgelb;RAL 1023;0;10;100;0;255;230;0;#ffe600
