"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20201015,20201212
2,0,0,0,0,0,1,0,20201015,20201212
3,1,1,1,1,1,1,0,20201015,20201212
4,1,1,1,1,1,1,1,20201015,20201212
5,0,0,0,0,0,1,1,20201015,20201212
6,0,0,0,0,0,0,1,20201015,20201212
7,1,1,1,1,1,0,0,20201015,20201212
8,0,0,0,0,1,1,0,20201015,20201212
9,0,0,0,0,0,0,0,20201015,20201212
10,0,1,0,1,0,0,0,20201015,20201212
11,1,0,1,0,1,0,0,20201015,20201212
12,1,1,1,1,0,0,0,20201015,20201212
13,0,0,0,0,1,0,0,20201015,20201212
14,0,0,0,0,1,0,0,20201015,20201212
15,0,0,0,0,0,0,0,20201015,20201212
16,0,1,0,0,0,0,0,20201015,20201212
17,0,1,0,0,0,0,0,20201015,20201212
18,0,0,0,0,1,0,0,20201015,20201212
19,0,1,1,1,0,0,0,20201015,20201212
20,0,0,0,0,0,0,0,20201015,20201212
21,0,0,0,0,0,0,0,20201015,20201212
22,0,0,0,0,0,1,1,20201015,20201212
23,0,0,0,0,0,1,0,20201015,20201212
24,1,0,0,0,0,0,0,20201015,20201212
25,0,0,0,0,0,0,1,20201015,20201212
26,1,1,1,1,1,1,0,20201015,20201212
27,1,0,1,1,1,0,0,20201015,20201212
28,0,0,0,0,0,0,0,20201015,20201212
29,0,0,0,0,0,0,0,20201015,20201212
30,1,1,1,1,1,1,0,20201015,20201212
31,1,1,1,1,1,0,0,20201015,20201212
32,0,0,0,0,0,0,0,20201015,20201212
33,0,0,0,0,0,0,0,20201015,20201212
34,1,1,1,1,1,0,0,20201015,20201212
35,0,0,0,0,0,0,0,20201015,20201212
36,0,0,0,0,0,0,0,20201015,20201212
37,0,0,0,0,0,0,0,20201015,20201212
38,0,0,0,0,0,0,0,20201015,20201212
39,0,0,0,0,0,0,0,20201015,20201212
40,0,0,0,0,1,0,0,20201015,20201212
41,1,1,1,1,0,0,1,20201015,20201212
42,1,1,1,1,1,0,0,20201015,20201212
43,0,0,0,0,1,1,0,20201015,20201212
44,1,1,1,1,1,0,1,20201015,20201212
45,0,0,0,0,1,0,0,20201015,20201212
46,1,1,1,1,1,1,1,20201015,20201212
47,1,1,1,1,1,1,1,20201015,20201212
48,1,1,1,1,1,1,1,20201015,20201212
49,0,0,0,0,0,0,0,20201015,20201212
50,1,1,1,1,1,1,1,20201015,20201212
51,0,0,0,0,0,1,1,20201015,20201212
52,1,1,1,1,1,1,0,20201015,20201212
53,1,1,1,1,1,1,1,20201015,20201212
54,0,0,0,0,0,0,1,20201015,20201212
55,1,1,1,1,0,0,0,20201015,20201212
56,1,1,1,1,0,0,1,20201015,20201212
57,0,0,0,0,0,1,0,20201015,20201212
58,0,0,0,0,1,0,0,20201015,20201212
59,0,0,0,0,1,1,0,20201015,20201212
60,0,0,0,0,0,1,1,20201015,20201212
