Bauwerk Name;Bauwerkselement Name;Bauwerkselement Typ;Bauwerkselement Nummer;Bauwerkselement Niveau;X-Koordinate;Y-Koordinate;Bauwerksreferenzort Nummer;Bauwerkselement Exportnummer
Aalemannufer (Berlin);Aalemannufer (Berlin);Bauwerk;463;;13,212685;52,573261;27205;900027205
Aalemannufer (Berlin);Bushaltestelle Niederneuendorfer Allee hinter Aalemannufer;Zugang und ÖV;3;0;13,212458;52,573577;;300463003
Aalemannufer (Berlin);Bushaltestelle Niederneuendorfer Allee vor Aalemannufer;Zugang und ÖV;4;0;13,212484;52,573433;;300463004
Aalemannufer (Berlin);Bushaltestelle Niederneuendorfer Allee vor Aalemannufer in der Wendeschleife;Zugang und ÖV;1;0;13,212904;52,573159;;300463001
Aalemannufer (Berlin);Endhaltestelle Niederneuendorfer Allee vor Aalemannufer in der Wendeschleife;Zugang und ÖV;2;0;13,212810;52,572963;;300463002
Achardstr. (Berlin);Achardstr. (Berlin);Bauwerk;2051;;13,579138;52,499986;175549;900175549
Achardstr. (Berlin);Bushaltestelle Chemnitzer Straße vor Achardstraße;Zugang und ÖV;2;0;13,579076;52,499774;;302051002
Achardstr. (Berlin);Bushaltestelle Chemnitzer Straße vor Lenbachstraße;Zugang und ÖV;1;0;13,579163;52,500293;;302051001
Adalbertstr./Oranienstr. (Berlin);Adalbertstr./Oranienstr. (Berlin);Bauwerk;500;;13,419293;52,501285;14103;900014103
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Adalbertstraße hinter Oranienstraße;Zugang und ÖV;2;0;13,419507;52,501525;;300500002
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Adalbertstraße hinter Oranienstraße;Zugang und ÖV;3;0;13,419094;52,501062;;300500003
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Oranienstraße hinter Adalbertstraße;Zugang und ÖV;4;0;13,418944;52,501424;;300500004
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Oranienstraße hinter Adalbertstraße;Zugang und ÖV;5;0;13,419671;52,501154;;300500005
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Oranienstraße vor Adalbertstraße;Zugang und ÖV;1;0;13,418956;52,501343;;300500001
Adersleber Weg (Berlin);Adersleber Weg (Berlin);Bauwerk;530;;13,560320;52,537893;170515;900170515
Adersleber Weg (Berlin);Bushalt Allee der Kosmonauten vor Pekrunstr;Zugang und ÖV;2;0;13,559964;52,537759;;300530002
Adersleber Weg (Berlin);Bushalt Allee der Kosmonauten vor Pekrunstraße;Zugang und ÖV;6;0;13,559883;52,537654;;300530006
Adersleber Weg (Berlin);Bushalt Allee der Kosmonauten vor Schragenfeldstraße;Zugang und ÖV;5;0;13,560591;52,537961;;300530005
Adersleber Weg (Berlin);Bushalt Allee d.Kosmonauten ht. Kienbergstr;Zugang und ÖV;1;0;13,560344;52,537674;;300530001
Adersleber Weg (Berlin);Tramsteig Allee der Kosmonauten ht. Kienbergstr.;Zugang und ÖV;4;0;13,560323;52,537863;;300530004
Adersleber Weg (Berlin);Tramsteig Allee der Kosmonauten vor Pekrunstr.;Zugang und ÖV;3;0;13,560242;52,537893;;300530003
Adlergestell/Vetschauer Allee (Berlin);Adlergestell/Vetschauer Allee (Berlin);Bauwerk;852;;13,633782;52,386162;185503;900185503
Adlergestell/Vetschauer Allee (Berlin);Bushaltestelle Vetschauer Allee hinter Adlergestell;Zugang und ÖV;1;0;13,634143;52,386547;;300852001
Adlergestell/Vetschauer Allee (Berlin);Tramsteig Vetschauer Allee hinter Adlergestell;Zugang und ÖV;2;0;13,633931;52,386468;;300852002
Adlergestell/Vetschauer Allee (Berlin);Tramsteig Vetschauer Allee vor Adlergestell;Zugang und ÖV;3;0;13,633829;52,386501;;300852003
Adolfstr. (Berlin);Adolfstr. (Berlin);Bauwerk;1925;;13,585051;52,505093;175555;900175555
Adolfstr. (Berlin);Bushaltestelle Alt-Kaulsdorf;Zugang und ÖV;1;0;13,584243;52,505167;;301925001
Adolfstr. (Berlin);Bushaltestelle Alt-Kaulsdorf;Zugang und ÖV;2;0;13,584917;52,505059;;301925002
Agathe-Lasch-Platz (Berlin);Agathe-Lasch-Platz (Berlin);Bauwerk;2349;;13,296346;52,498041;40104;900040104
Agathe-Lasch-Platz (Berlin);Bushaltestelle Kurfürstendamm hinter Hektorstraße;Zugang und ÖV;3;0;13,297155;52,498255;;302349003
Agathe-Lasch-Platz (Berlin);Bushaltestelle Kurfürstendamm hinter Joachim-Friedrich-Straße;Zugang und ÖV;1;0;13,296879;52,497980;;302349001
Agathe-Lasch-Platz (Berlin);Bushaltestelle Kurfürstendamm hinter Joachim-Friedrich-Straße;Zugang und ÖV;2;0;13,295520;52,497972;;302349002
Ahornallee (Berlin);Ahornallee (Berlin);Bauwerk;859;;13,619022;52,455606;182503;900182503
Ahornallee (Berlin);Tram- und Bussteig Fürstenwalder Damm  hinter Ahornallee;Zugang und ÖV;1;0;13,619120;52,455606;;300859001
Ahornallee (Berlin);Tram- und Bussteig Fürstenwalder Damm vor Stillerzeile;Zugang und ÖV;2;0;13,619078;52,455666;;300859002
Ahrensdorf (bei Ludwigsfelde), Am Sportplatz;Ahrensdorf, Am Sportpl. 1;Zugang und ÖV;1;0;;;;302352001
Ahrensdorf (bei Ludwigsfelde), Am Sportplatz;Ahrensdorf, Am Sportpl. 2;Zugang und ÖV;2;0;;;;302352002
Ahrensdorf (bei Ludwigsfelde), Am Sportplatz;Ahrensdorf (bei Ludwigsfelde), Am Sportplatz;Bauwerk;2352;;13,204297;52,314326;245751;900245751
Ahrensdorf (UM), Petersdorfer Str.;Ahrensdorf (UM), Petersdorfer Str.;Bauwerk;2060;;13,577761;53,117982;340776;900340776
Ahrensdorf (UM), Petersdorfer Str.;Bushaltestelle Petersdorfer Str.;Zugang und ÖV;1;0;13,576183;53,111216;;302060001
Ahrensfelde, Friedhof Bhf;Ahrensfelde, Friedhof Bhf;Bauwerk;813;;13,572999;52,580490;350141;900350141
Ahrensfelde, Friedhof Bhf;Bahnsteig Gleis 1 beide Richtungen;ÖV;1;1;13,573039;52,580555;;300813001
Ahrensfelde, Friedhof Bhf;Bahnsteig Gleis 1 Weg zum Ausgang;Zwischenpunkt;6;1;13,573544;52,581089;;300813006
Ahrensfelde, Friedhof Bhf;Bahnsteig Gleis 1 Weg zum Zugang Ulmenallee und zum Bahnhübergang;Zwischenpunkt;11;0;13,573559;52,581103;;300813011
Ahrensfelde, Friedhof Bhf;Bushalt Ernst-Thählmann-Straße vor Ahrensfelder Dreieck;Zugang und ÖV;5;0;13,574654;52,581133;;300813005
Ahrensfelde, Friedhof Bhf;Bushalt Ernst-Thälmann-Straße hinter Ahrensfelder Dreieck;Zugang und ÖV;4;0;13,574766;52,581091;;300813004
Ahrensfelde, Friedhof Bhf;Zugang Bahnstraße Rampe zum Bahnübergang;Zugang;2;0;13,574047;52,581414;;300813002
Ahrensfelde, Friedhof Bhf;Zugang Umenallee Weg zum Bahnsteig und zum Bahnübergang;Zugang;3;0;13,572821;52,581348;;300813003
Ahrensfelde, Mehrower Str.;Ahrensfelde, Mehrower Str.;Bauwerk;1009;;13,583928;52,576639;350202;900350202
Ahrensfelde, Mehrower Str.;Bushaltestelle Ahrensfelde, Mehrower Str.;Zugang und ÖV;1;0;13,584241;52,576543;;301009001
Ahrensfelde, Mehrower Str.;Bushaltestelle Ahrensfelde, Mehrower Str.;Zugang und ÖV;2;0;13,584693;52,576432;;301009002
Ahrensfelde, Nord Bhf;Ahrensfelde, Nord Bhf;Bauwerk;814;;13,582222;52,591113;350142;900350142
Ahrensfelde, Nord Bhf;Bahnsteig, beide Richtungen;ÖV;1;1;13,581969;52,590711;;300814001
Ahrensfelde, Nord Bhf;Bahnsteig, Rampe zum Zugang Bahnstr.;Zwischenpunkt;4;1;13,581517;52,590190;;300814004
Ahrensfelde, Nord Bhf;Bahnsteig, Rampe zum Zugang Ginsterstr.;Zwischenpunkt;5;1;13,582463;52,591276;;300814005
Ahrensfelde, Nord Bhf;Bahnsteig, Treppe zum Zugang Bahnstr.;Zwischenpunkt;8;1;13,581580;52,590170;;300814008
Ahrensfelde, Nord Bhf;Bahnsteig, Treppe zum Zugang Ginsterstr.;Zwischenpunkt;9;1;13,582515;52,591260;;300814009
Ahrensfelde, Nord Bhf;Zugang (Rampe) Bahnstr.;Zugang;2;0;13,581660;52,590137;;300814002
Ahrensfelde, Nord Bhf;Zugang (Rampe) Ginsterstr.;Zugang;3;0;13,582591;52,591233;;300814003
Ahrensfelde, Nord Bhf;Zugang (Treppe) Bahnstr.;Zugang;6;0;13,581659;52,590147;;300814006
Ahrensfelde, Nord Bhf;Zugang (Treppe) Ginsterstr.;Zugang;7;0;13,582590;52,591243;;300814007
Ahrensfelde/Stadtgrenze (Berlin);Ahrensfelde/Stadtgrenze (Berlin);Bauwerk;1931;;13,574675;52,572835;170006;900170006
Ahrensfelde/Stadtgrenze (Berlin);Ersatzhaltestelle Ahrensfelde - Endstelle;Zugang und ÖV;1;0;13,574216;52,573416;;301931001
Ahrensfelde/Stadtgrenze (Berlin);Ersatzhaltestelle Schorfheidestraße hinter Klansdorfer Straße;Zugang und ÖV;2;0;13,574401;52,572534;;301931002
Ahrensfelde/Stadtgrenze (Berlin);Ersatzhaltestelle Schorfheidestraße vor Feldtstraße;Zugang und ÖV;3;0;13,574703;52,572913;;301931003
Ahrensfelde/Stadtgrenze (Berlin);Tramsteig Schorfheidestraße hinter Feldstraße Einstieg;Zugang und ÖV;4;0;13,574818;52,572780;;301931004
Ahrensfelde/Stadtgrenze (Berlin);Tramsteig Schorfheidestraße vor Klansdorfer Straße Ausstieg;Zugang und ÖV;5;0;13,574242;52,572510;;301931005
Ahrenshooper Str. (Berlin);Ahrenshooper Str. (Berlin);Bauwerk;1960;;13,501888;52,566214;151501;900151501
Ahrenshooper Str. (Berlin);Ersatzhaltestelle Zingster Straße vor Ahrenshooper Straße;Zugang und ÖV;1;0;13,501749;52,565985;;301960001
Ahrenshooper Str. (Berlin);Ersatzhaltestelle Zingster Straße vor Ahrenshooper Straße;Zugang und ÖV;2;0;13,501135;52,566378;;301960002
Ahrenshooper Str. (Berlin);Tramsteig Zingster Straße hinter Barther Straße;Zugang und ÖV;4;0;13,502247;52,565924;;301960004
Ahrenshooper Str. (Berlin);Tramsteig Zingster Straße vor Ahrenshooper Straße;Zugang und ÖV;3;0;13,501487;52,566531;;301960003
Albert-Einstein-Str. (Berlin);Albert-Einstein-Str. (Berlin);Bauwerk;2350;;13,539444;52,431126;194525;900194525
Albert-Einstein-Str. (Berlin);Bushaltestelle Am Studio hinter Albert-Einstein-Straße;Zugang und ÖV;2;0;13,538967;52,431350;;302350002
Albert-Einstein-Str. (Berlin);Bushaltestelle Am Studio vor Ernst-Augustin-Straße;Zugang und ÖV;1;0;13,539410;52,431185;;302350001
Albert-Einstein-Str. (Berlin);Bushaltestelle Volmerstraße vor Albert-Einstein-Straße;Zugang und ÖV;3;0;13,535935;52,430365;;302350003
Albertinenstr. (Berlin);Albertinenstr. (Berlin);Bauwerk;853;;13,457775;52,549788;140005;900140005
Albertinenstr. (Berlin);Bushaltestelle Berliner Allee vor Pistoriusstraße;Zugang und ÖV;1;0;13,459924;52,550365;;300853001
Albertinenstr. (Berlin);Bushaltestelle Bizetstraße vor Smetanastraße;Zugang und ÖV;8;0;13,458741;52,548826;;300853008
Albertinenstr. (Berlin);Bushaltestelle Pistoriusstraße vor Berliner Allee;Zugang und ÖV;2;0;13,458341;52,550290;;300853002
