"service_id","date","exception_type"
2,20201031,2
3,20201031,2
6,20201031,1
7,20201019,2
7,20201020,2
7,20201021,2
7,20201015,2
7,20201022,2
7,20201016,2
7,20201023,2
8,20201031,2
9,20201019,1
9,20201020,1
9,20201021,1
9,20201015,1
9,20201022,1
9,20201016,1
9,20201023,1
12,20201019,2
12,20201020,2
12,20201021,2
12,20201015,2
12,20201022,2
13,20201016,2
13,20201023,2
14,20201019,1
14,20201020,1
14,20201021,1
14,20201015,1
14,20201022,1
15,20201020,1
17,20201020,2
20,20201016,1
20,20201023,1
21,20201019,1
21,20201020,1
21,20201021,1
21,20201015,1
21,20201022,1
22,20201019,1
22,20201020,1
22,20201021,1
22,20201015,1
22,20201022,1
22,20201016,1
22,20201023,1
23,20201019,1
23,20201020,1
23,20201021,1
23,20201015,1
23,20201022,1
23,20201016,1
23,20201023,1
23,20201031,2
25,20201019,1
25,20201020,1
25,20201021,1
25,20201015,1
25,20201022,1
25,20201016,1
25,20201023,1
25,20201031,1
26,20201019,2
26,20201020,2
26,20201021,2
26,20201015,2
26,20201022,2
26,20201016,2
26,20201023,2
26,20201031,2
28,20201019,1
28,20201020,1
28,20201021,1
28,20201022,1
28,20201023,1
29,20201015,1
29,20201016,1
30,20201019,2
30,20201020,2
30,20201021,2
30,20201022,2
30,20201023,2
30,20201031,2
31,20201019,2
31,20201020,2
31,20201021,2
31,20201022,2
31,20201023,2
32,20201019,1
33,20201015,1
34,20201015,2
35,20201017,1
36,20201017,1
36,20201018,1
37,20201018,1
38,20201016,1
38,20201017,1
38,20201018,1
39,20201024,1
40,20201030,2
40,20201024,1
42,20201019,2
42,20201026,2
42,20201020,2
42,20201027,2
42,20201021,2
42,20201028,2
42,20201015,2
42,20201022,2
42,20201029,2
42,20201016,2
42,20201023,2
42,20201030,2
44,20201031,1
45,20201031,1
46,20201019,2
46,20201020,2
46,20201021,2
46,20201015,2
46,20201022,2
46,20201016,2
46,20201023,2
47,20201019,2
47,20201020,2
47,20201021,2
47,20201022,2
47,20201023,2
48,20201015,2
49,20201017,1
49,20201024,1
49,20201018,1
49,20201025,1
50,20201015,2
50,20201017,2
50,20201024,2
50,20201018,2
50,20201025,2
51,20201017,2
51,20201024,2
51,20201018,2
51,20201025,2
52,20201015,2
52,20201031,2
53,20201015,2
53,20201016,2
53,20201017,2
53,20201018,2
54,20201018,2
55,20201015,2
56,20201015,2
56,20201018,2
57,20201017,2
57,20201024,2
58,20201016,2
58,20201024,1
59,20201016,2
59,20201017,2
60,20201017,2
60,20201024,2
60,20201018,2
61,20201017,1
61,20201024,1
61,20201018,1
62,20201017,1
62,20201024,1
63,20201018,1
64,20201016,1
64,20201017,1
65,20201019,2
65,20201015,2
65,20201016,2
66,20201019,2
66,20201015,2
66,20201017,1
66,20201018,1
67,20201019,2
67,20201015,2
67,20201024,2
68,20201019,2
68,20201015,2
69,20201019,2
69,20201017,2
69,20201031,2
70,20201020,1
70,20201021,1
70,20201015,1
70,20201022,1
70,20201017,2
70,20201031,2
71,20201031,1
71,20201018,2
72,20201019,1
72,20201024,1
73,20201016,2
73,20201024,1
74,20201016,2
74,20201017,2
74,20201018,2
75,20201025,1
76,20201023,2
77,20201023,1
78,20201023,2
78,20201030,2
79,20201019,1
79,20201026,1
79,20201020,1
79,20201027,1
79,20201021,1
79,20201028,1
79,20201015,1
79,20201022,1
79,20201029,1
79,20201016,1
79,20201023,1
79,20201030,1
80,20201016,1
80,20201023,1
80,20201030,1
81,20201016,1
81,20201023,1
81,20201024,1
82,20201016,2
82,20201023,2
82,20201030,2
83,20201019,1
83,20201026,1
83,20201020,1
83,20201027,1
83,20201021,1
83,20201028,1
83,20201015,1
83,20201022,1
83,20201029,1
83,20201016,1
83,20201023,1
83,20201030,1
84,20201020,1
84,20201021,1
84,20201022,1
84,20201023,1
85,20201019,1
85,20201020,1
85,20201021,1
85,20201022,1
85,20201023,1
85,20201017,2
85,20201018,2
86,20201017,2
86,20201031,2
87,20201017,2
87,20201024,2
87,20201031,2
88,20201016,1
89,20201015,2
89,20201016,2
90,20201019,2
90,20201015,2
90,20201016,2
90,20201017,2
90,20201024,2
90,20201031,2
91,20201019,2
91,20201020,2
91,20201021,2
91,20201015,2
91,20201022,2
91,20201016,2
91,20201023,2
91,20201017,2
91,20201024,2
91,20201031,2
92,20201020,1
92,20201021,1
92,20201022,1
92,20201023,1
92,20201017,2
92,20201024,2
92,20201031,2
93,20201019,2
93,20201015,2
93,20201016,2
93,20201017,2
93,20201024,2
93,20201018,2
94,20201020,1
94,20201021,1
94,20201022,1
94,20201023,1
94,20201017,2
94,20201024,2
94,20201018,2
95,20201019,2
95,20201020,2
95,20201021,2
95,20201015,2
95,20201022,2
95,20201016,2
95,20201023,2
95,20201017,2
95,20201024,2
95,20201018,2
96,20201020,2
96,20201021,2
96,20201015,2
96,20201022,2
96,20201016,2
96,20201023,2
96,20201017,2
96,20201018,2
97,20201020,1
97,20201021,1
97,20201015,1
97,20201022,1
97,20201023,1
98,20201019,2
99,20201019,2
99,20201020,2
99,20201021,2
99,20201015,2
99,20201022,2
99,20201023,2
99,20201017,2
99,20201024,2
99,20201031,2
100,20201020,1
100,20201021,1
100,20201015,1
100,20201022,1
100,20201016,1
100,20201023,1
100,20201017,2
100,20201024,2
100,20201031,2
101,20201019,2
101,20201017,2
101,20201024,2
101,20201031,2
102,20201019,2
102,20201017,2
102,20201024,2
102,20201018,2
103,20201019,2
103,20201020,2
103,20201021,2
103,20201015,2
103,20201022,2
103,20201023,2
103,20201017,2
103,20201024,2
103,20201018,2
104,20201020,1
104,20201021,1
104,20201015,1
104,20201022,1
104,20201016,1
104,20201023,1
104,20201017,2
104,20201024,2
104,20201018,2
105,20201019,2
105,20201016,2
105,20201017,2
105,20201024,2
105,20201018,2
106,20201020,1
106,20201021,1
106,20201015,1
106,20201022,1
106,20201023,1
106,20201017,2
106,20201024,2
106,20201018,2
107,20201019,1
107,20201020,1
107,20201021,1
107,20201015,1
107,20201022,1
107,20201023,1
107,20201017,2
107,20201018,2
108,20201017,2
108,20201031,2
108,20201018,1
109,20201015,2
109,20201017,2
109,20201024,2
110,20201015,2
110,20201017,1
110,20201024,1
111,20201015,2
111,20201017,2
111,20201024,2
111,20201031,2
112,20201015,2
112,20201031,1
113,20201017,1
113,20201024,1
114,20201017,2
114,20201024,2
115,20201017,1
115,20201024,1
115,20201031,1
116,20201015,2
116,20201017,1
116,20201024,1
116,20201031,1
117,20201015,2
117,20201017,1
117,20201024,1
117,20201018,1
117,20201025,1
118,20201019,1
118,20201020,1
118,20201021,1
118,20201015,1
118,20201022,1
118,20201023,1
119,20201016,2
120,20201017,2
120,20201018,2
121,20201015,2
121,20201016,2
121,20201031,1
121,20201018,2
122,20201016,1
122,20201017,2
122,20201031,2
123,20201015,2
123,20201016,2
123,20201017,2
123,20201031,2
124,20201019,1
124,20201020,1
124,20201021,1
124,20201022,1
124,20201023,1
124,20201017,2
124,20201031,2
125,20201017,2
125,20201018,2
126,20201019,2
126,20201020,2
126,20201021,2
126,20201022,2
126,20201016,2
126,20201023,2
127,20201016,1
127,20201031,1
127,20201018,2
128,20201016,2
128,20201017,2
128,20201031,2
129,20201016,1
129,20201017,2
129,20201018,2
130,20201016,2
130,20201031,1
130,20201018,2
131,20201031,1
131,20201018,2
132,20201020,1
132,20201021,1
132,20201022,1
132,20201023,1
132,20201017,2
132,20201031,2
133,20201019,2
133,20201015,2
133,20201016,2
133,20201017,2
133,20201031,2
134,20201020,2
134,20201021,2
134,20201015,2
134,20201022,2
134,20201016,2
134,20201023,2
134,20201017,2
134,20201031,2
135,20201020,2
135,20201021,2
135,20201015,2
135,20201022,2
135,20201016,2
135,20201023,2
136,20201015,2
136,20201016,2
136,20201017,2
136,20201024,2
136,20201018,2
137,20201019,1
137,20201020,1
137,20201021,1
137,20201015,1
137,20201022,1
137,20201016,1
137,20201023,1
137,20201017,2
137,20201031,2
138,20201019,2
138,20201020,2
138,20201021,2
138,20201015,2
138,20201022,2
138,20201023,2
138,20201017,2
138,20201031,2
139,20201017,2
139,20201031,2
140,20201020,2
140,20201021,2
140,20201015,2
140,20201022,2
140,20201023,2
140,20201017,2
140,20201031,2
141,20201019,1
141,20201020,1
141,20201021,1
141,20201015,1
141,20201022,1
141,20201016,1
141,20201023,1
141,20201017,2
141,20201018,2
142,20201020,2
142,20201021,2
142,20201015,2
142,20201022,2
142,20201023,2
142,20201017,2
142,20201018,2
143,20201016,2
143,20201017,2
143,20201024,2
143,20201018,2
144,20201020,1
144,20201021,1
144,20201015,1
144,20201022,1
144,20201016,1
144,20201023,1
144,20201017,2
144,20201031,2
145,20201019,1
145,20201015,1
145,20201016,1
146,20201019,1
146,20201015,1
146,20201016,1
146,20201017,1
147,20201019,1
147,20201015,1
147,20201016,1
147,20201017,1
147,20201018,1
148,20201019,2
148,20201015,2
148,20201016,2
148,20201017,2
148,20201018,2
149,20201020,1
149,20201021,1
149,20201022,1
149,20201016,1
149,20201023,1
150,20201024,2
151,20201020,1
151,20201021,1
151,20201022,1
151,20201016,1
151,20201023,1
151,20201024,2
152,20201015,2
152,20201024,2
152,20201031,2
153,20201019,1
153,20201020,1
153,20201021,1
153,20201022,1
153,20201016,1
153,20201023,1
154,20201024,2
154,20201031,2
154,20201018,1
155,20201019,1
155,20201020,1
155,20201021,1
155,20201022,1
155,20201031,2
156,20201019,2
156,20201024,2
157,20201019,1
157,20201020,1
157,20201021,1
157,20201022,1
157,20201016,1
157,20201023,1
158,20201019,1
158,20201020,1
158,20201021,1
158,20201022,1
158,20201016,1
158,20201023,1
158,20201024,2
159,20201019,1
159,20201020,1
159,20201021,1
159,20201022,1
159,20201016,1
159,20201023,1
159,20201031,2
159,20201018,1
160,20201019,2
160,20201020,2
160,20201021,2
160,20201015,2
160,20201022,2
160,20201016,2
160,20201023,2
160,20201017,2
160,20201018,2
161,20201019,1
161,20201020,1
161,20201021,1
161,20201015,1
161,20201022,1
161,20201016,1
161,20201023,1
161,20201017,1
161,20201018,1
162,20201016,1
162,20201023,1
162,20201017,1
163,20201016,2
163,20201023,2
163,20201017,2
164,20201030,1
164,20201017,2
165,20201019,1
165,20201020,1
165,20201021,1
165,20201015,1
165,20201022,1
165,20201018,1
166,20201019,2
166,20201020,2
166,20201021,2
166,20201015,2
166,20201022,2
166,20201018,2
167,20201030,1
168,20201030,2
169,20201026,1
169,20201027,1
169,20201028,1
169,20201029,1
169,20201030,1
170,20201031,1
170,20201018,2
170,20201025,2
171,20201031,2
171,20201018,1
171,20201025,1
172,20201019,1
172,20201016,1
172,20201017,1
172,20201018,1
173,20201019,1
173,20201016,1
173,20201018,1
174,20201019,2
174,20201015,2
174,20201016,2
174,20201031,1
174,20201018,2
175,20201015,2
175,20201031,1
175,20201018,2
175,20201025,2
176,20201018,2
176,20201025,2
177,20201031,2
177,20201018,1
177,20201025,1
178,20201015,2
178,20201018,1
178,20201025,1
179,20201015,2
179,20201031,2
179,20201018,1
179,20201025,1
180,20201019,2
180,20201015,2
180,20201016,2
180,20201017,2
180,20201031,2
180,20201025,1
181,20201019,1
181,20201026,1
181,20201020,1
181,20201027,1
181,20201021,1
181,20201028,1
181,20201015,1
181,20201022,1
181,20201029,1
181,20201016,1
181,20201023,1
181,20201030,1
181,20201031,2
182,20201019,2
182,20201026,2
182,20201020,2
182,20201027,2
182,20201021,2
182,20201028,2
182,20201015,2
182,20201022,2
182,20201029,2
183,20201019,1
183,20201026,1
183,20201020,1
183,20201027,1
183,20201021,1
183,20201028,1
183,20201022,1
183,20201029,1
183,20201031,1
183,20201018,2
183,20201025,2
184,20201019,1
